a cappella,2,2021-01-01
aesthetic rap,1,2021-01-01
album rock,5,2021-01-01
alternative hip hop,4,2021-01-01
alternative metal,12,2021-01-01
alternative r&b,3,2021-01-01
alternative rock,4,2021-01-01
alt z,1,2021-01-01
anime,1,2021-01-01
art pop,1,2021-01-01
art rock,1,2021-01-01
atl hip hop,2,2021-01-01
australian hip hop,2,2021-01-01
australian pop,2,2021-01-01
bachata,1,2021-01-01
banda,2,2021-01-01
barbadian pop,1,2021-01-01
baroque pop,1,2021-01-01
beatlesque,3,2021-01-01
blues rock,1,2021-01-01
bolero,1,2021-01-01
bow pop,1,2021-01-01
brazilian rock,1,2021-01-01
brill building pop,2,2021-01-01
british invasion,3,2021-01-01
brooklyn drill,1,2021-01-01
cali rap,1,2021-01-01
canadian contemporary r&b,2,2021-01-01
canadian hip hop,3,2021-01-01
canadian pop,2,2021-01-01
cancion melodica,1,2021-01-01
celtic,2,2021-01-01
celtic rock,1,2021-01-01
champeta,1,2021-01-01
chicago rap,3,2021-01-01
chill pop,1,2021-01-01
classical,2,2021-01-01
classical era,3,2021-01-01
classic rock,6,2021-01-01
classic soul,2,2021-01-01
colombian pop,3,2021-01-01
conscious hip hop,2,2021-01-01
contemporary country,14,2021-01-01
contemporary vocal jazz,2,2021-01-01
country,3,2021-01-01
country dawn,3,2021-01-01
country road,10,2021-01-01
country rock,4,2021-01-01
dance pop,34,2021-01-01
dance rock,4,2021-01-01
danish rock,5,2021-01-01
dark trap,3,2021-01-01
desi pop,1,2021-01-01
double drumming,1,2021-01-01
dutch rap pop,1,2021-01-01
early modern classical,1,2021-01-01
east coast hip hop,2,2021-01-01
easy listening,1,2021-01-01
eau claire indie,1,2021-01-01
edm,6,2021-01-01
electric blues,2,2021-01-01
electro house,9,2021-01-01
electropop,9,2021-01-01
emo,1,2021-01-01
emo rap,2,2021-01-01
europop,7,2021-01-01
florida rap,5,2021-01-01
folk,2,2021-01-01
folk brasileiro,1,2021-01-01
folk rock,2,2021-01-01
francoton,3,2021-01-01
french hip hop,4,2021-01-01
funk metal,2,2021-01-01
future house,1,2021-01-01
gangster rap,6,2021-01-01
garage rock,1,2021-01-01
german hip hop,9,2021-01-01
g funk,1,2021-01-01
g-house,1,2021-01-01
girl group,1,2021-01-01
glam rock,3,2021-01-01
golden age hip hop,2,2021-01-01
grunge,2,2021-01-01
hardcore hip hop,1,2021-01-01
hard rock,5,2021-01-01
harlem renaissance,1,2021-01-01
heartland rock,1,2021-01-01
hip hop,15,2021-01-01
hoerspiel,5,2021-01-01
hollywood,1,2021-01-01
house,2,2021-01-01
icelandic rock,1,2021-01-01
indie folk,3,2021-01-01
indie poptimism,6,2021-01-01
indietronica,1,2021-01-01
industrial rock,1,2021-01-01
irish rock,4,2021-01-01
italian opera,2,2021-01-01
italian pop,1,2021-01-01
jazz boom bap,1,2021-01-01
kleine hoerspiel,6,2021-01-01
k-pop,7,2021-01-01
k-pop boy group,7,2021-01-01
k-pop girl group,1,2021-01-01
la indie,1,2021-01-01
latin,21,2021-01-01
latin arena pop,3,2021-01-01
latin hip hop,3,2021-01-01
latin pop,7,2021-01-01
latin worship,1,2021-01-01
lilith,2,2021-01-01
lo-fi indie,1,2021-01-01
lounge,5,2021-01-01
lullaby,1,2021-01-01
mariachi,2,2021-01-01
mellow gold,7,2021-01-01
melodic rap,4,2021-01-01
meme rap,1,2021-01-01
memphis hip hop,1,2021-01-01
memphis soul,3,2021-01-01
metal,1,2021-01-01
metalcore,1,2021-01-01
mexican classic rock,1,2021-01-01
mexican hip hop,2,2021-01-01
mexican pop,3,2021-01-01
miami hip hop,2,2021-01-01
minnesota hip hop,1,2021-01-01
modern alternative rock,7,2021-01-01
modern country rock,3,2021-01-01
modern folk rock,1,2021-01-01
modern rock,17,2021-01-01
motown,1,2021-01-01
neo-classical,1,2021-01-01
neo mellow,6,2021-01-01
neo soul,2,2021-01-01
new orleans jazz,1,2021-01-01
new orleans rap,1,2021-01-01
new rave,1,2021-01-01
new romantic,2,2021-01-01
new wave pop,1,2021-01-01
ninja,1,2021-01-01
north carolina hip hop,2,2021-01-01
northern irish indie,1,2021-01-01
NULL,1,2021-01-01
nu metal,9,2021-01-01
nyc rap,1,2021-01-01
ohio hip hop,2,2021-01-01
opm,1,2021-01-01
permanent wave,9,2021-01-01
philly rap,2,2021-01-01
pianissimo,1,2021-01-01
piano rock,5,2021-01-01
plugg,3,2021-01-01
polish classical,1,2021-01-01
political hip hop,1,2021-01-01
pop,67,2021-01-01
pop dance,5,2021-01-01
pop nacional,2,2021-01-01
pop punk,3,2021-01-01
pop rap,31,2021-01-01
pop rock,14,2021-01-01
pop urbaine,2,2021-01-01
post-grunge,1,2021-01-01
post-punk,2,2021-01-01
post-romantic era,1,2021-01-01
post-teen pop,10,2021-01-01
progressive electro house,1,2021-01-01
progressive house,2,2021-01-01
psychedelic rock,8,2021-01-01
puerto rican pop,5,2021-01-01
punk,2,2021-01-01
quiet storm,4,2021-01-01
rap,27,2021-01-01
rap conciencia,2,2021-01-01
rap conscient,1,2021-01-01
rap francais,3,2021-01-01
rap latina,1,2021-01-01
rap metal,5,2021-01-01
rap rock,3,2021-01-01
r&b,7,2021-01-01
reggaeton,12,2021-01-01
reggaeton colombiano,3,2021-01-01
reggaeton flow,2,2021-01-01
regional mexican,2,2021-01-01
rock,23,2021-01-01
rockabilly,1,2021-01-01
rock en espanol,3,2021-01-01
rock nacional brasileiro,1,2021-01-01
roots rock,1,2021-01-01
sacramento indie,1,2021-01-01
scandipop,1,2021-01-01
scorecore,1,2021-01-01
sertanejo,4,2021-01-01
