contemporary country,14,2021-01-01
dance pop,34,2021-01-01
hip hop,15,2021-01-01
latin,21,2021-01-01
modern rock,17,2021-01-01
pop,67,2021-01-01
pop rap,31,2021-01-01
post-teen pop,10,2021-01-01
rap,27,2021-01-01
rock,23,2021-01-01
contemporary country,19,2021-01-02
dance pop,39,2021-01-02
hip hop,13,2021-01-02
latin,17,2021-01-02
modern rock,19,2021-01-02
pop,84,2021-01-02
pop rap,17,2021-01-02
post-teen pop,22,2021-01-02
rap,28,2021-01-02
rock,33,2021-01-02
contemporary country,16,2021-01-03
dance pop,38,2021-01-03
hip hop,16,2021-01-03
latin,19,2021-01-03
modern rock,13,2021-01-03
pop,76,2021-01-03
pop rap,29,2021-01-03
post-teen pop,20,2021-01-03
rap,27,2021-01-03
rock,36,2021-01-03
contemporary country,17,2021-01-04
dance pop,43,2021-01-04
hip hop,27,2021-01-04
latin,28,2021-01-04
modern rock,23,2021-01-04
pop,80,2021-01-04
pop rap,28,2021-01-04
post-teen pop,20,2021-01-04
rap,30,2021-01-04
rock,37,2021-01-04
contemporary country,14,2021-01-05
dance pop,53,2021-01-05
hip hop,22,2021-01-05
latin,33,2021-01-05
modern rock,22,2021-01-05
pop,74,2021-01-05
pop rap,19,2021-01-05
post-teen pop,23,2021-01-05
rap,26,2021-01-05
rock,27,2021-01-05
contemporary country,17,2021-01-06
dance pop,49,2021-01-06
hip hop,13,2021-01-06
latin,27,2021-01-06
modern rock,17,2021-01-06
pop,98,2021-01-06
pop rap,30,2021-01-06
post-teen pop,21,2021-01-06
rap,27,2021-01-06
rock,23,2021-01-06
contemporary country,10,2021-01-07
dance pop,56,2021-01-07
hip hop,9,2021-01-07
latin,28,2021-01-07
modern rock,17,2021-01-07
pop,77,2021-01-07
pop rap,18,2021-01-07
post-teen pop,8,2021-01-07
rap,24,2021-01-07
rock,36,2021-01-07
contemporary country,22,2021-01-08
dance pop,52,2021-01-08
hip hop,21,2021-01-08
latin,18,2021-01-08
modern rock,15,2021-01-08
pop,71,2021-01-08
pop rap,15,2021-01-08
post-teen pop,14,2021-01-08
rap,30,2021-01-08
rock,42,2021-01-08
contemporary country,19,2021-01-09
dance pop,38,2021-01-09
hip hop,13,2021-01-09
latin,19,2021-01-09
modern rock,15,2021-01-09
pop,70,2021-01-09
pop rap,12,2021-01-09
post-teen pop,25,2021-01-09
rap,28,2021-01-09
rock,37,2021-01-09
contemporary country,21,2021-01-10
dance pop,44,2021-01-10
hip hop,9,2021-01-10
latin,22,2021-01-10
modern rock,28,2021-01-10
pop,91,2021-01-10
pop rap,24,2021-01-10
post-teen pop,19,2021-01-10
rap,26,2021-01-10
rock,32,2021-01-10
contemporary country,22,2021-01-11
dance pop,47,2021-01-11
hip hop,18,2021-01-11
latin,18,2021-01-11
modern rock,13,2021-01-11
pop,69,2021-01-11
pop rap,20,2021-01-11
post-teen pop,18,2021-01-11
rap,23,2021-01-11
rock,29,2021-01-11
contemporary country,10,2021-01-12
dance pop,44,2021-01-12
hip hop,13,2021-01-12
latin,15,2021-01-12
modern rock,20,2021-01-12
pop,91,2021-01-12
pop rap,27,2021-01-12
post-teen pop,9,2021-01-12
rap,39,2021-01-12
rock,34,2021-01-12
contemporary country,24,2021-01-13
dance pop,58,2021-01-13
hip hop,29,2021-01-13
latin,17,2021-01-13
modern rock,13,2021-01-13
pop,80,2021-01-13
pop rap,29,2021-01-13
post-teen pop,13,2021-01-13
rap,18,2021-01-13
rock,36,2021-01-13
contemporary country,22,2021-01-14
dance pop,46,2021-01-14
hip hop,18,2021-01-14
latin,21,2021-01-14
modern rock,17,2021-01-14
pop,88,2021-01-14
pop rap,26,2021-01-14
post-teen pop,14,2021-01-14
rap,36,2021-01-14
rock,37,2021-01-14
contemporary country,17,2021-01-15
dance pop,58,2021-01-15
hip hop,14,2021-01-15
latin,24,2021-01-15
modern rock,14,2021-01-15
pop,73,2021-01-15
pop rap,27,2021-01-15
post-teen pop,17,2021-01-15
rap,20,2021-01-15
rock,32,2021-01-15
contemporary country,10,2021-01-16
dance pop,50,2021-01-16
hip hop,11,2021-01-16
latin,22,2021-01-16
modern rock,14,2021-01-16
pop,93,2021-01-16
pop rap,13,2021-01-16
post-teen pop,11,2021-01-16
rap,30,2021-01-16
rock,30,2021-01-16
contemporary country,25,2021-01-17
dance pop,39,2021-01-17
hip hop,26,2021-01-17
latin,15,2021-01-17
modern rock,14,2021-01-17
pop,87,2021-01-17
pop rap,24,2021-01-17
post-teen pop,20,2021-01-17
rap,27,2021-01-17
rock,34,2021-01-17
contemporary country,19,2021-01-18
dance pop,38,2021-01-18
hip hop,15,2021-01-18
latin,26,2021-01-18
modern rock,16,2021-01-18
pop,94,2021-01-18
pop rap,30,2021-01-18
post-teen pop,19,2021-01-18
rap,29,2021-01-18
rock,39,2021-01-18
contemporary country,17,2021-01-19
dance pop,45,2021-01-19
hip hop,25,2021-01-19
latin,21,2021-01-19
modern rock,15,2021-01-19
pop,90,2021-01-19
pop rap,23,2021-01-19
post-teen pop,13,2021-01-19
rap,32,2021-01-19
rock,24,2021-01-19
contemporary country,20,2021-01-20
dance pop,48,2021-01-20
hip hop,25,2021-01-20
latin,14,2021-01-20
modern rock,20,2021-01-20
pop,88,2021-01-20
pop rap,22,2021-01-20
post-teen pop,23,2021-01-20
rap,28,2021-01-20
rock,36,2021-01-20
contemporary country,17,2021-01-21
dance pop,56,2021-01-21
hip hop,22,2021-01-21
latin,18,2021-01-21
modern rock,15,2021-01-21
pop,80,2021-01-21
pop rap,17,2021-01-21
post-teen pop,15,2021-01-21
rap,38,2021-01-21
rock,37,2021-01-21
contemporary country,15,2021-01-22
dance pop,45,2021-01-22
hip hop,16,2021-01-22
latin,22,2021-01-22
modern rock,14,2021-01-22
pop,82,2021-01-22
pop rap,22,2021-01-22
post-teen pop,15,2021-01-22
