42305,Givin' U The Best,spotify:track:60aVmrlfqEHXfTD6sJjCje,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:2OaUXP18rfeetAvZbPuj4H,Emperors Of Soul: The Rarities,23,292145,soul,10/29/2021,4.87,song34749,87BD,song87BD,292,04:52
42306,Elevator Eyes,spotify:track:10QxNsjESMAXcRYK6ivNfI,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:2OaUXP18rfeetAvZbPuj4H,Emperors Of Soul: The Rarities,24,245374,soul,10/29/2021,4.09,song34750,87BE,song87BE,245,04:05
42307,Blueprint For Love,spotify:track:3EgtnAAGzOnqMgRqgPvFnT,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:2OaUXP18rfeetAvZbPuj4H,Emperors Of Soul: The Rarities,25,234040,funk,10/29/2021,3.9,song34751,87BF,song87BF,234,03:54
42308,All Right,spotify:track:6EDVuXxHLjFFlX30LK0gqb,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,1,134997,soul,7/30/2021,2.25,song34752,87C0,song87C0,135,02:15
42309,Your Wonderful Love,spotify:track:7uRK9kMRtW6l9AHQkqtVmm,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,2,167896,classic soul,7/30/2021,2.8,song34753,87C1,song87C1,168,02:48
42310,Slow Down Heart,spotify:track:71zeIGTcQgdV8K1dQP64SG,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,3,159362,classic soul,7/30/2021,2.66,song34754,87C2,song87C2,159,02:39
42311,Save Me From This Misery,spotify:track:2xEiSFT2i8iTn3DCy0yZb2,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,4,168080,classic soul,7/30/2021,2.8,song34755,87C3,song87C3,168,02:48
42312,Romance Without Finance,spotify:track:3iHONnj2KKMbd51HElQqpo,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,5,168080,classic soul,7/30/2021,2.8,song34756,87C4,song87C4,168,02:48
42313,Paradise,spotify:track:1QcFFCE3gShWbVqG71bjJj,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,6,166999,classic soul,7/30/2021,2.78,song34757,87C5,song87C5,167,02:47
42314,Open Your Heart,spotify:track:2NJqXaRcPCC36yBWabdIei,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,7,179052,soul,7/30/2021,2.98,song34758,87C6,song87C6,179,02:59
42315,Oh Mother Of Mine,spotify:track:34TtQLFINYNDfECjnZ71qn,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,8,142787,soul,7/30/2021,2.38,song34759,87C7,song87C7,143,02:23
42316,Oh Distant Lover,spotify:track:3CZKxJE6p4HNmLyFyNFUod,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,9,159950,funk,7/30/2021,2.67,song34760,87C8,song87C8,160,02:40
42317,My Telephone Is Ringing,spotify:track:71DjubbQp79VlPMclF9i4A,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,10,154973,funk,7/30/2021,2.58,song34761,87C9,song87C9,155,02:35
42318,IsnÂ´t She Pretty,spotify:track:4mjyBTtQYHuwtNu7zUFpRs,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,11,157510,soul,7/30/2021,2.63,song34762,87CA,song87CA,158,02:38
42319,I Like It,spotify:track:6TwZuH9zUxtRlY3EBat9X3,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,12,135013,funk,7/30/2021,2.25,song34763,87CB,song87CB,135,02:15
42320,Dream Come True,spotify:track:0Kxy6wswWkTk7G2Qh8cyVB,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,13,170605,memphis soul,7/30/2021,2.84,song34764,87CC,song87CC,171,02:51
42321,Come On,spotify:track:67kAM7O3JvxkAqG8i3lDtG,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,14,137354,soul,7/30/2021,2.29,song34765,87CD,song87CD,137,02:17
42322,Check Yourself,spotify:track:1hBLu72MLOCAMv7d75kCOv,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,15,166009,soul,7/30/2021,2.77,song34766,87CE,song87CE,166,02:46
42323,Answer Me,spotify:track:6BDNbxliKcZRgjHTe6i0L2,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,16,160529,memphis soul,7/30/2021,2.68,song34767,87CF,song87CF,161,02:41
42324,Always,spotify:track:1HABcml7xZJtASAtzVfwCo,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,17,165499,soul,7/30/2021,2.76,song34768,87D0,song87D0,165,02:45
42325,My Girl,spotify:track:1kqMZq4BBytdA25pRvEkBd,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",1,177005,memphis soul,1/20/2021,2.95,song34769,87D1,song87D1,177,02:57
42326,The Way You Do the Things You Do,spotify:track:5wfke3UKuBXUJ6sn3GLiP8,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",2,159164,funk,1/20/2021,2.65,song34770,87D2,song87D2,159,02:39
42327,You've Got to Earn It,spotify:track:1bb3GBgMT1zmZytBTZFiqi,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",3,160522,memphis soul,1/20/2021,2.68,song34771,87D3,song87D3,161,02:41
42328,It's Growing,spotify:track:34XYidZa2deY81yTySlCvR,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",4,179408,memphis soul,1/20/2021,2.99,song34772,87D4,song87D4,179,02:59
