,spotify_album_id,derived_album_id,album_name
0,spotify:album:3SpBlxme9WbeQdI9kx7KAV,album0000,Certified Lover Boy
1,spotify:album:6sp02aeyiwfX35xRqwNiPv,album0001,Certified Lover Boy
2,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,album0002,Dark Lane Demo Tapes
3,spotify:album:32iAEBstCjauDhyKpGjTuq,album0003,=
4,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,album0004,No.6 Collaborations Project
5,spotify:album:5oUZ9TEZR3wOdvqzowuNwl,album0005,No.6 Collaborations Project
6,spotify:album:6YlDIxqEjvY63ffH6AwCjd,album0006,After Hours (Deluxe)
7,spotify:album:5OrhhWHH015Al0f85fzFIC,album0007,After Hours (Deluxe)
8,spotify:album:4yP0hdKOZPNshxUOjY0cZj,album0008,After Hours
9,spotify:album:2d9BCZeAAhiZWPpbX9aPCW,album0009,EL ÚLTIMO TOUR DEL MUNDO
10,spotify:album:4gvQO5mEuhbMSrLIuwXkmz,album0010,LAS QUE NO IBAN A SALIR
11,spotify:album:5lJqux7orBlA1QzyiBGti1,album0011,YHLQMDLG
12,spotify:album:576UTio7xgY7YUxrHMzxeI,album0012,F*CK LOVE 3+: OVER YOU
13,spotify:album:4NYDjLwVArqXrxnFWnRITq,album0013,F*CK LOVE 3+: OVER YOU
14,spotify:album:4bZJWQhHKJckFLJuYdvyX2,album0014,F*CK LOVE 3: OVER YOU
15,spotify:album:4g1ZRSobMefqF6nelkgibi,album0015,Hollywood's Bleeding
16,spotify:album:3xiq77UtnlDXfcRz5IJu20,album0016,Hollywood's Bleeding
17,spotify:album:6trNtQUgC8cgbWcqoMYkOR,album0017,beerbongs & bentleys
18,spotify:album:3MKvhQoFSrR2PrxXXBHe9B,album0018,Music To Be Murdered By - Side B (Deluxe Edition)
19,spotify:album:7JhGOo4ojHVgNbFdxHGUgD,album0019,Music To Be Murdered By - Side B (Deluxe Edition)
20,spotify:album:4otkd9As6YaxxEkIjXPiZ6,album0020,Music To Be Murdered By
21,spotify:album:4hDok0OAJd57SGIT8xuWJH,album0021,Fearless (Taylor's Version)
