,genre_name,derived_genre_id
0,hip hop,genre000
1,rap,genre001
2,toronto rap,genre002
3,canadian pop,genre003
4,canadian hip hop,genre004
5,uk pop,genre005
6,pop,genre006
7,canadian contemporary r&b,genre007
8,reggaeton,genre008
9,trap latino,genre009
10,latin,genre010
11,australian hip hop,genre011
12,melodic rap,genre012
13,dfw rap,genre013
14,detroit hip hop,genre014
15,permanent wave,genre015
16,chicago rap,genre016
17,electropop,genre017
18,miami hip hop,genre018
19,emo rap,genre019
20,pop rap,genre020
21,barbadian pop,genre021
22,urban contemporary,genre022
23,dance pop,genre023
24,modern rock,genre024
25,rock,genre025
26,mellow gold,genre026
27,glam rock,genre027
28,piano rock,genre028
29,pop rock,genre029
30,viral pop,genre030
31,pop dance,genre031
32,tropical house,genre032
33,electro house,genre033
34,edm,genre034
35,house,genre035
36,progressive house,genre036
37,k-pop,genre037
38,k-pop girl group,genre038
39,r&b,genre039
40,post-teen pop,genre040
41,talent show,genre041
42,boy band,genre042
43,rap latina,genre043
44,escape room,genre044
45,trap queen,genre045
46,north carolina hip hop,genre046
47,conscious hip hop,genre047
48,merseybeat,genre048
49,beatlesque,genre049
50,british invasion,genre050
51,classic rock,genre051
52,psychedelic rock,genre052
53,reggaeton colombiano,genre053
54,progressive electro house,genre054
55,brostep,genre055
56,rap metal,genre056
57,post-grunge,genre057
58,nu metal,genre058
59,alternative metal,genre059
60,trap,genre060
61,philly rap,genre061
62,pop soul,genre062
63,british soul,genre063
64,art pop,genre064
65,funk rock,genre065
66,alternative rock,genre066
67,funk metal,genre067
68,pop venezolano,genre068
69,trap argentino,genre069
70,aesthetic rap,genre070
71,sad rap,genre071
72,garage rock,genre072
73,sheffield indie,genre073
74,dutch edm,genre074
75,oakland hip hop,genre075
76,indie pop rap,genre076
77,moombahton,genre077
78,neo mellow,genre078
79,soul,genre079
80,puerto rican pop,genre080
81,metropopolis,genre081
82,indietronica,genre082
83,minnesota hip hop,genre083
84,southern hip hop,genre084
85,pittsburgh rap,genre085
86,slap house,genre086
87,trance,genre087
88,big room,genre088
89,colombian pop,genre089
90,atl hip hop,genre090
91,gangster rap,genre091
92,atl trap,genre092
93,dmv rap,genre093
94,cali rap,genre094
95,emo,genre095
96,ninja,genre096
97,singer-songwriter,genre097
98,old school thrash,genre098
99,thrash metal,genre099
100,hard rock,genre100
101,metal,genre101
102,seattle hip hop,genre102
103,electronic trap,genre103
104,brooklyn drill,genre104
105,complextro,genre105
106,german techno,genre106
107,girl group,genre107
108,australian rock,genre108
109,lgbtq+ hip hop,genre109
110,florida rap,genre110
111,dutch hip hop,genre111
112,punk,genre112
113,neo soul,genre113
114,alternative r&b,genre114
115,swedish electropop,genre115
116,swedish pop,genre116
117,scandipop,genre117
118,bachata,genre118
119,uk funky,genre119
120,uk dance,genre120
121,reggae,genre121
122,roots reggae,genre122
123,mexican pop,genre123
124,latin pop,genre124
125,bolero,genre125
126,progressive rock,genre126
127,album rock,genre127
128,symphonic rock,genre128
129,art rock,genre129
130,ohio hip hop,genre130
131,grunge,genre131
132,yacht rock,genre132
133,soft rock,genre133
134,lounge,genre134
135,jazz pop,genre135
136,adult standards,genre136
137,memphis hip hop,genre137
138,tennessee hip hop,genre138
139,glam metal,genre139
140,dark trap,genre140
141,underground hip hop,genre141
142,new orleans rap,genre142
143,latin hip hop,genre143
144,reggaeton flow,genre144
145,west coast rap,genre145
146,g funk,genre146
147,nz pop,genre147
148,south carolina hip hop,genre148
149,latin arena pop,genre149
150,vapor trap,genre150
151,alternative hip hop,genre151
152,irish singer-songwriter,genre152
153,latin viral pop,genre153
154,dance rock,genre154
155,pop punk,genre155
156,socal pop punk,genre156
157,canadian trap,genre157
158,norteno,genre158
159,corrido,genre159
160,banda,genre160
161,regional mexican,genre161
162,irish rock,genre162
163,hip pop,genre163
164,mississippi hip hop,genre164
165,modern alternative rock,genre165
166,stomp and holler,genre166
167,uk americana,genre167
168,modern folk rock,genre168
169,rap baixada fluminense,genre169
170,funk carioca,genre170
171,trap carioca,genre171
172,contemporary country,genre172
173,country,genre173
