,spotify_artist_id,derived_artist_id,artist_name
0,spotify:artist:3TVXtAsR1Inumwj472S9r4,artist000,Drake
1,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,artist001,Ed Sheeran
2,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,artist002,The Weeknd
3,spotify:artist:4q3ewBCX7sLwd24euuV69X,artist003,Bad Bunny
4,spotify:artist:2tIP7SsRs7vjIcLrU85W8J,artist004,The Kid LAROI
5,spotify:artist:246dkjvS1zLTtiykXe5h60,artist005,Post Malone
6,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,artist006,Eminem
7,spotify:artist:06HL4z0CvFAxyc27GXpf02,artist007,Taylor Swift
8,spotify:artist:5hdhHgpxyniooUiQVaPxQ0,artist008,Nio Garcia
9,spotify:artist:1fux65HMCBvfJHqlBc4Nno,artist009,Casper Magico
10,spotify:artist:2qbEtwBVyobgpNP5KcHE9J,artist010,Pusho
11,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,artist011,Coldplay
12,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,artist012,Kanye West
13,spotify:artist:2hPgGN4uhvXAxiXQBIXOmE,artist013,KIDS SEE GHOSTS
14,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,artist014,Billie Eilish
15,spotify:artist:0EFisYRi20PTADoJrifHrz,artist015,Jhay Cortez
16,spotify:artist:15UsOTVnJzReFVN1VCnxy4,artist016,XXXTENTACION
17,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,artist017,Juice WRLD
18,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,artist018,Rihanna
19,spotify:artist:53XhwfbYqKCa1cC15pYq2q,artist019,Imagine Dragons
20,spotify:artist:3PhoLpVuITZKcymswpck5b,artist020,Elton John
21,spotify:artist:04gDigrS5kc9YWfZHwBETP,artist021,Maroon 5
22,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,artist022,Shawn Mendes
23,spotify:artist:4sTQVOfp9vEMCemLw50sbu,artist023,Galantis
24,spotify:artist:7CajNmpbOovFoOoasH2HaY,artist024,Calvin Harris
25,spotify:artist:6qGkLCMQkNGOJ079iEcC5k,artist025,Ben Platt
26,spotify:artist:2wY79sveU1sp5g7SokKOiI,artist026,Sam Smith
27,spotify:artist:0du5cEVh5yTK9QJze8zA0C,artist027,Bruno Mars
28,spotify:artist:1z4g3DjTBBZKhvAroFlhOM,artist028,Red Velvet
29,spotify:artist:5SXuuuRpukkTvsLuUknva1,artist029,Baby Keem
30,spotify:artist:69GGBxA162lTqCwzJG5jLp,artist030,The Chainsmokers
31,spotify:artist:6vWDO969PvNqNYHIOW5v0m,artist031,Beyoncé
32,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,artist032,Chris Brown
33,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,artist033,One Direction
34,spotify:artist:0jnsk9HBra6NMjO2oANoPY,artist034,Flo Rida
35,spotify:artist:6veh5zbFpm31XsPdjBgPER,artist035,BIA
36,spotify:artist:2lolQgalUvZDfp5vvVtTYV,artist036,Tony Bennett
37,spotify:artist:1HY2Jd0NmPuamShAr6KMms,artist037,Lady Gaga
38,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,artist038,J. Cole
39,spotify:artist:1iNqsUDUraNWrj00bqssQG,artist039,Dreamville
40,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,artist040,The Beatles
41,spotify:artist:1r4hJ1h58CWwUQe3MxPuau,artist041,Maluma
42,spotify:artist:3YQKmKGau1PzlVlkL1iodx,artist042,Twenty One Pilots
43,spotify:artist:23fqKkggKUBHNkbKtXEls4,artist043,Kygo
44,spotify:artist:64KEffDW9EtZ1y2vBYgq8T,artist044,Marshmello
45,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,artist045,Linkin Park
46,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,artist046,Avicii
47,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,artist047,Future
48,spotify:artist:6jJ0s89eD6GaHleKKya26X,artist048,Katy Perry
49,spotify:artist:4dpARuHxo51G3z768sgnrY,artist049,Adele
50,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,artist050,Camila Cabello
51,spotify:artist:329e4yvIujISKGKz1BZZbO,artist051,Farruko
52,spotify:artist:00FQb4jTyendYWaN8pK0wa,artist052,Lana Del Rey
53,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,artist053,Jason Derulo
54,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,artist054,Red Hot Chili Peppers
55,spotify:artist:1bAftSH8umNcGZ0uyV7LMg,artist055,Duki
